date,SPY,AMZN,JPM,PFE,TSLA,WMT,BA,PEP,MRO,DPZ,SPY
2017-08-25,0.006489,0.000803667,-0.00316109,0.002393038,-0.006890471,-0.007659928,0.005453643,-0.002679714,-0.011834438,0.000167475,0.006488819
2017-08-28,0.018985,0.008462852,-0.005473648,0.000895737,0.004906015,0.009438885,0.013859111,0.002593229,-0.00366991,-0.002127958,0.018984509
2017-08-29,0.026623,0.014081923,0.002302445,-0.001493628,0.016616164,-0.002924281,-0.000124578,0.000999161,0.00183659,0.003078563,0.026622767
2017-08-30,0.040176,0.013356144,-0.004610115,0.013953196,0.007671922,-0.006002154,-0.003332627,0.005024303,0.019982668,0.018439585,0.040176211
2017-08-31,-0.084993,-0.002399389,0.008872567,0.001178576,-0.001405849,0.003835448,0.00279177,0.000950146,0.013398966,0.007270744,-0.084993243
2017-09-01,0.021553,-0.013357365,-0.024172319,-0.004722809,-0.016482919,0.018082164,-0.013952821,0.000258942,0.001773091,-0.005954933,0.021552619
2017-09-05,0.021576,0.002617579,0.006681122,0.005605886,-0.014579885,0.003502646,-0.010092964,0.004134033,0.038232508,0.000712583,0.021576259
2017-09-06,0.043412,0.011986155,-0.017689662,0,0.017493383,0.00049954,0.007177241,0.005485445,0.004253251,0.003770727,0.043412045
2017-09-07,0.057569,-0.013951321,-0.001243496,0.003230777,-0.020778575,-0.015598029,0.010398133,-0.016808251,-0.040715807,0.016822451,0.057568723
2017-09-08,-0.052492,0.012408481,0.015375289,0.006430737,0.057405894,0.002532483,0.007551702,0.005634117,0.015789697,0.013796865,-0.052491753
2017-09-11,-0.008578,0.004713057,0.012176499,0.030135862,-0.00258791,0.006679412,-4.16E-05,-0.005982059,0.008665763,0.004750305,-0.008577691
2017-09-12,0.029623,0.017173393,0.002856773,-0.008802975,0.009547646,0.003135579,0.005595761,-0.004794192,0.027235534,-0.007239758,0.029623164
2017-09-13,0.028387,-0.007420421,-0.001976874,0.018929617,0.030679782,-0.002256496,0.013548015,-0.002274255,0.00167798,0.009629722,0.028387012
2017-09-14,0.038775,-0.005477528,0.007119864,-0.010409289,0.00572974,0.008746747,0.015256375,0.005763191,0.005850458,0.024806937,0.038774801
2017-09-15,-0.065061,-0.012850915,0.014089035,0.005358804,0.013572233,-0.00473886,0.016252792,0.001218276,0.001665229,0.004816767,-0.065061352
2017-09-18,-0.016394,-0.004454605,0.010917396,-0.002816646,-0.026050717,0.000625007,-0.002452806,-0.004357599,-0.001665229,0.001583373,-0.016394232
2017-09-19,0.024303,0.003448155,0.007001406,0.015117598,-0.003177517,0.005605731,0.011812948,-0.007980115,0.034401255,0.008386235,0.024303405
2017-09-20,-0.025996,-0.008834586,0.004534911,-0.000555772,-0.020071178,-0.006105707,0.002267938,-0.006891074,0.024653394,0.00232528,-0.025996352
2017-09-21,-0.041488,-0.009949232,-0.002106604,-0.000278281,-0.042901293,-0.006017212,0.00160011,-0.008457819,0.004702227,-0.004199836,-0.041487954
2017-09-22,0.02062,-0.016159664,-0.007515292,-0.012592662,-0.017527184,-0.004789325,-0.008340487,0.000804471,0.030795319,-0.019405168,0.020619603
2017-09-25,0.033958,-0.001267,-0.004472537,-0.005931316,0.00075339,0.003027163,-0.002440895,-0.00116202,0.015795702,-0.000568873,0.033958335
2017-09-26,0.036198,0.012987931,0.015671788,0.004240433,-0.012474339,-0.001260296,0.006208525,-0.006370342,0.024328676,0.018096129,0.036198142
2017-09-27,0.033464,0.005798902,0.002099059,0.004222246,-0.004026072,-0.004297217,-0.003964312,0.004848558,-0.0146738,0.00101554,0.033463688
2017-09-28,-0.071001,0.005162332,0.001362067,0.002805182,0.004407279,-0.010312668,-0.000235853,-0.001882705,0.002214656,0.007634382,-0.071001336
2017-09-29,-0.003679,-0.00224941,0.013829096,0.010310452,0.001259819,0.003959424,0.006977551,-0.020948418,0.002210152,0.007226246,-0.003679099
2017-10-02,-0.037023,-0.002181278,0.005252563,0.001938815,0.019169146,0.009767261,-0.002072579,9.18E-05,0.012431577,0.01400232,-0.037023399
2017-10-03,0.005827,0.008686414,-0.010221494,-0.00499315,0.019541275,-0.001642359,0.001173638,0.001922273,0.010123008,-0.005785636,0.005827429
2017-10-04,0.031255,0.01582525,0.013375679,0.001112032,0.000901019,0.004037932,0.012163882,0.010100886,-0.001440071,0.021489381,0.031254942
